id;first_name;last_name;email;phone_number;salary
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;25834
2;Miguel;Klocko;Lynn.Buckridge@gmail.com;Wooden interfaces;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;90233
4;Michelle;Rath;Laurence.Gaylord34@yahoo.com;Berkshire indigo;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;54263
6;Quinten;White;Brando.Kulas@yahoo.com;value-added;20289
7;Fern;Ortiz;Christopher_Ritchie@hotmail.com;frictionless Accounts;13556
8;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;65826
9;Karlie;Koelpin;Vicky28@gmail.com;Sleek;50881
10;Vida;MacGyver;Alize21@gmail.com;calculating Bacon Officer;24173
